latitud,longitud,direccion,barrio,comuna,capacidad,estado
-34.6015286,-58.37812389999989,ESMERALDA 565,San Nicolas,1,300,Renovado 2016
-34.5872409999999,-58.4387297999999,"VEGA, NICETO, CNEL. AV. 5508",Palermo,14,1118,Renovado 2016
-34.5986006999999,-58.4999498,"BEIRO, FRANCISCO AV. 3334",Villa Del Parque,11,480,Renovado 2016
-34.6049093,-58.38940219999989,MONTEVIDEO 310,San Nicolas,1,200,Renovado 2015
-34.5823670999999,-58.4214630999999,"BORGES, JORGE LUIS 2450",Palermo,14,650,Renovado 2016
-34.6241527999999,-58.42748910000001,LA PLATA AV. 735,Caballito,6,1593,Renovado 2016
-34.5920277999999,-58.42647410000001,"SCALABRINI ORTIZ, RAUL AV. 1425",Palermo,14,604,Renovado 2015
-34.629107899999994,-58.3830901999999,O'BRIEN 1232,Constitucion,1,3050,Renovado 2015
-34.6322309999999,-58.4747557999999,RIVADAVIA AV. 7806,Floresta,10,1872,Renovado 2016
-34.6120025999999,-58.3747191,PERU 342,Monserrat,1,901,Renovado 2016
-34.5905119299999,-58.42452474,"SCALABRINI ORTIZ, RAUL AV. 1648",Palermo,14,784,Renovado 2016
-34.585566799999995,-58.4345076,HONDURAS 5445,Palermo,14,1370,Renovado 2015
-34.6447749,-58.41625989999999,SAENZ AV. 459,Nueva Pompeya,4,2346,Renovado 2016
-34.6263559,-58.4570336999999,BOYACA AV. 28,Flores,7,186,Renovado 2016
-34.605627899999995,-58.3914650999999,SARMIENTO 1752,San Nicolas,1,980,Renovado 2016
-34.6318002,-58.4722768999999,"MARTI, JOSE 17",Flores,7,999,Renovado 2016
-34.5801354,-58.450837,"LACROZE, FEDERICO AV. 3453",Colegiales,13,1584,Renovado 2016
-34.5504701999999,-58.4297595999999,"OBLIGADO RAFAEL, AV.COSTANERA 6211",Belgrano,13,335,Renovado 2016
-34.56791870000001,-58.4019368,"OBLIGADO RAFAEL, AV.COSTANERA Y SARMIENTO AV.",Palermo,14,2028,Renovado 2015
-34.6046522999999,-58.41185829999989,AGUERO 445,Balvanera,3,405,Renovado 2015
-34.5946253999999,-58.39213470000001,RODRIGUEZ PEÑA 1220,Recoleta,2,396,Renovado 2016
-34.5986164999999,-58.37492759999989,CORDOBA AV. 543,Retiro,1,415,Renovado 2015
-34.5522589999999,-58.4539406,"UGARTE, MANUEL 1640",Belgrano,13,992,Renovado 2016
-34.6027131,-58.41222760000001,GUARDIA VIEJA 3360,Balvanera,3,630,Renovado 2016
-34.5649714999999,-58.4382578,OLLEROS AV. 1775,Palermo,14,650,Renovado 2016
-34.6088244999999,-58.4349531,DIAZ VELEZ AV. 4820,Caballito,6,300,Renovado 2015
-34.5569465,-58.4482131999999,JURAMENTO 1543,Belgrano,13,238,Renovado 2016
-34.609590999999995,-58.3800388,"YRIGOYEN, HIPOLITO 968",Monserrat,1,532,Renovado 2016
-34.5866851999999,-58.43564599999989,DARWIN 1574 / AV. J. B. JUSTO 1634,Palermo,14,478,Renovado 2016
-34.5469247999999,-58.4484343999999,"FIGUEROA ALCORTA, PRES. AV. 7536",Belgrano,13,320,Renovado 2016
-34.592908,-58.5079265,SAN MARTIN AV. 6628,Villa Devoto,11,692,Renovado 2016
-34.6015234999999,-58.3796188999999,SUIPACHA 586,San Nicolas,1,520,Renovado 2016
-34.598689799999995,-58.4235576,GASCON 1036,Almagro,5,2450,Renovado 2015
-34.6299368,-58.4698726,NAZCA AV. 55,Flores,7,778,Renovado 2015
-34.6010959999999,-58.3981149,VIAMONTE 2168,Balvanera,3,425,Renovado 2016
-34.6059385,-58.3640370999999,"COSSETTINI, OLGA 751",Puerto Madero,1,622,Renovado 2016
-34.5966135999999,-58.4257739999999,CORDOBA AV. 4175,Palermo,14,350,Renovado 2016
-34.6019519,-58.3717424,LAVALLE 343,San Nicolas,1,880,Renovado 2016
-34.6309589,-58.4701644,RIVADAVIA AV. 7428,Flores,7,1260,Renovado 2016
-34.5860135,-58.435425,"JUSTO, JUAN B. AV. 1574",Palermo,14,961,Renovado 2016
-34.5860447,-58.4401674,"VEGA, NICETO, CNEL. AV. 5699",Palermo,14,333,Renovado 2015
-34.6141925,-58.3746737999999,PERU 535,Monserrat,1,1950,Renovado 2016
-34.5884755,-58.4300173,"BORGES, JORGE LUIS 1640",Palermo,14,264,Renovado 2016
-34.5700422999999,-58.39899799999989,"OBLIGADO RAFAEL, AV.COSTANERA Y SALGUERO, JERONIMO",Palermo,14,1764,Renovado 2016
-34.6050272,-58.39374339999989,RIOBAMBA 345,Balvanera,3,428,Renovado 2016
-34.6095092999999,-58.3797672999999,"YRIGOYEN, HIPOLITO 947",Monserrat,1,400,Renovado 2016
-34.5860320999999,-58.5019399,MOSCONI GENERAL AV. 2885,Villa Pueyrredon,12,1434,Renovado 2016
-34.5890761,-58.3945882,"URIBURU JOSE E., PRES. 1721",Recoleta,2,588,Renovado 2016
-34.6191389,-58.37586759999989,CHACABUCO 947,San Telmo,1,1702,Renovado 2015
-34.5865129999999,-58.4162868,ARAOZ 2422,Palermo,14,1030,Renovado 2016
-34.5896224,-58.38844209999989,"QUINTANA, MANUEL, PRES. 362",Recoleta,2,220,Renovado 2016
-34.59611,-58.39197239999999,RODRIGUEZ PEÑA 1082,Recoleta,2,335,Renovado 2015
-34.5715334,-58.4228098,DEL LIBERTADOR AV. 3883,Palermo,14,2258,Renovado 2016
-34.5523537999999,-58.4652551,CABILDO AV. 3241,Nu�ez,13,900,Renovado 2016
-34.5417454999999,-58.4734558999999,CABILDO AV. 4665,Nu�ez,13,1297,Renovado 2016
-34.6229634999999,-58.3633067999999,"MOREAU DE JUSTO, ALICIA AV. 2092",Puerto Madero,1,679,Renovado 2016
-34.6323002999999,-58.47612039999989,RIVADAVIA AV. 7927,Floresta,10,743,Renovado 2016
-34.6040222,-58.41493929999999,CORRIENTES AV. 3530,Almagro,5,662,Renovado 2016
-34.5861227999999,-58.43614639999989,"JUSTO, JUAN B. AV. 1625",Palermo,14,572,Renovado 2016
-34.6307608999999,-58.4702375999999,RIVADAVIA AV. 7425,Flores,7,452,Renovado 2016
-34.6107239999999,-58.4153475,RIVADAVIA AV. 3469,Almagro,5,1270,Renovado 2016
-34.5814924,-58.4430223999999,DORREGO 1735,Palermo,14,187,Renovado 2016
-34.614905799999995,-58.37070779999989,BALCARCE 605,Monserrat,1,425,Renovado 2016
-34.5889055,-58.39609279999989,AZCUENAGA 1775,Recoleta,2,254,Renovado 2015
-34.5970061,-58.40954359999989,"CABRERA, JOSE A. 3046",Recoleta,2,489,Renovado 2016
-34.5583567999999,-58.43512929999999,"TORNQUIST, ERNESTO AV. 6385",Palermo,14,950,Renovado 2016
-34.5988371999999,-58.37604329999989,CORDOBA AV. 634,San Nicolas,1,100,Renovado 2016
-34.5796532999999,-58.42323869999989,SANTA FE AV. 4389,Palermo,14,1685,Renovado 2016
-34.586455,-58.439579,"VEGA, NICETO, CNEL. AV. 5635",Palermo,14,409,Renovado 2016
-34.5866746,-58.43615069999989,"JUSTO, JUAN B. AV. 1658",Palermo,14,742,Renovado 2016
-34.6313083,-58.47143549999989,RIVADAVIA AV. 7518,Flores,7,323,Renovado 2016
-34.5877016999999,-58.4380603999999,"VEGA, NICETO, CNEL. AV. 5422",Palermo,14,950,Renovado 2015
-34.5981738999999,-58.4094217999999,CORDOBA AV. 2988,Balvanera,3,448,Renovado 2016
-34.586431899999994,-58.433326,HONDURAS 5339,Palermo,14,1100,Renovado 2016
-34.595867299999995,-58.3985709,"URIBURU JOSE E., PRES. 1073",Recoleta,2,508,Renovado 2015
-34.5984515,-58.3798183999999,SUIPACHA 842,Retiro,1,220,Renovado 2015
-34.5782156,-58.461551,ALVAREZ THOMAS AV. 1391,Villa Ortuzar,15,940,Renovado 2015
-34.6055326999999,-58.3901503,SARMIENTO 1656,San Nicolas,1,1372,Renovado 2016
-34.5874221999999,-58.4384683999999,"VEGA, NICETO, CNEL. AV. 5452",Palermo,14,980,Renovado 2015
-34.609612899999995,-58.4089639,ECUADOR 60,Balvanera,3,1540,Renovado 2016
-34.609367299999995,-58.39371750000001,RIVADAVIA AV. 1910,Balvanera,3,990,Renovado 2016
-34.5854383,-58.41535749999989,SANTA FE AV. 3651,Palermo,14,576,Renovado 2016
-34.6215060999999,-58.3913037,HUMBERTO 1° 1783,Constitucion,1,150,Renovado 2015
-34.5969888999999,-58.4973451999999,"BEIRO, FRANCISCO AV. 3128",Villa Del Parque,11,247,Renovado 2016
-34.6090239999999,-58.3798195,DE MAYO AV. 948,Monserrat,1,200,Renovado 2016
-34.639002399999995,-58.5180013,RIVADAVIA AV. 10925,Liniers,9,1320,Renovado 2016
-34.6329905999999,-58.4675991,"ALBERDI, JUAN BAUTISTA AV. 2829",Flores,7,504,Renovado 2016
-34.605603,-58.39117589999999,SARMIENTO 1728,San Nicolas,1,1076,Renovado 2016
-34.56791870000001,-58.4019368,"OBLIGADO RAFAEL, AV.COSTANERA Y SARMIENTO AV.",Palermo,14,1613,Renovado 2016
-34.6281631,-58.38273579999989,SALTA 1748,Constitucion,1,1140,Renovado 2016
-34.6143635,-58.3707331,BALCARCE 563,Monserrat,1,586,Renovado 2015
-34.6155689,-58.3705292,BALCARCE 682,Monserrat,1,819,Renovado 2016
-34.6157152999999,-58.39262420000001,MEXICO 1863,Balvanera,3,460,Renovado 2016
-34.6015286,-58.37812389999989,ESMERALDA 565,San Nicolas,1,300,Renovado 2016
-34.5872409999999,-58.4387297999999,"VEGA, NICETO, CNEL. AV. 5508",Palermo,14,1118,Renovado 2016
-34.5986006999999,-58.4999498,"BEIRO, FRANCISCO AV. 3334",Villa Del Parque,11,480,Renovado 2016
-34.6049093,-58.38940219999989,MONTEVIDEO 310,San Nicolas,1,200,Renovado 2015
-34.5823670999999,-58.4214630999999,"BORGES, JORGE LUIS 2450",Palermo,14,650,Renovado 2016
-34.6241527999999,-58.42748910000001,LA PLATA AV. 735,Caballito,6,1593,Renovado 2016
-34.5920277999999,-58.42647410000001,"SCALABRINI ORTIZ, RAUL AV. 1425",Palermo,14,604,Renovado 2015
-34.629107899999994,-58.3830901999999,O'BRIEN 1232,Constitucion,1,3050,Renovado 2015
-34.6322309999999,-58.4747557999999,RIVADAVIA AV. 7806,Floresta,10,1872,Renovado 2016
-34.6120025999999,-58.3747191,PERU 342,Monserrat,1,901,Renovado 2016
-34.5905119299999,-58.42452474,"SCALABRINI ORTIZ, RAUL AV. 1648",Palermo,14,784,Renovado 2016
-34.585566799999995,-58.4345076,HONDURAS 5445,Palermo,14,1370,Renovado 2015
-34.6447749,-58.41625989999999,SAENZ AV. 459,Nueva Pompeya,4,2346,Renovado 2016
-34.6263559,-58.4570336999999,BOYACA AV. 28,Flores,7,186,Renovado 2016
-34.605627899999995,-58.3914650999999,SARMIENTO 1752,San Nicolas,1,980,Renovado 2016
-34.6318002,-58.4722768999999,"MARTI, JOSE 17",Flores,7,999,Renovado 2016
-34.5801354,-58.450837,"LACROZE, FEDERICO AV. 3453",Colegiales,13,1584,Renovado 2016
-34.5504701999999,-58.4297595999999,"OBLIGADO RAFAEL, AV.COSTANERA 6211",Belgrano,13,335,Renovado 2016
-34.56791870000001,-58.4019368,"OBLIGADO RAFAEL, AV.COSTANERA Y SARMIENTO AV.",Palermo,14,2028,Renovado 2015
-34.6046522999999,-58.41185829999989,AGUERO 445,Balvanera,3,405,Renovado 2015
-34.5946253999999,-58.39213470000001,RODRIGUEZ PEÑA 1220,Recoleta,2,396,Renovado 2016
-34.5986164999999,-58.37492759999989,CORDOBA AV. 543,Retiro,1,415,Renovado 2015
-34.5522589999999,-58.4539406,"UGARTE, MANUEL 1640",Belgrano,13,992,Renovado 2016
-34.6027131,-58.41222760000001,GUARDIA VIEJA 3360,Balvanera,3,630,Renovado 2016
-34.5649714999999,-58.4382578,OLLEROS AV. 1775,Palermo,14,650,Renovado 2016
-34.6088244999999,-58.4349531,DIAZ VELEZ AV. 4820,Caballito,6,300,Renovado 2015
-34.5569465,-58.4482131999999,JURAMENTO 1543,Belgrano,13,238,Renovado 2016
-34.609590999999995,-58.3800388,"YRIGOYEN, HIPOLITO 968",Monserrat,1,532,Renovado 2016
-34.5866851999999,-58.43564599999989,DARWIN 1574 / AV. J. B. JUSTO 1634,Palermo,14,478,Renovado 2016
-34.5469247999999,-58.4484343999999,"FIGUEROA ALCORTA, PRES. AV. 7536",Belgrano,13,320,Renovado 2016
-34.592908,-58.5079265,SAN MARTIN AV. 6628,Villa Devoto,11,692,Renovado 2016
-34.6015234999999,-58.3796188999999,SUIPACHA 586,San Nicolas,1,520,Renovado 2016
-34.598689799999995,-58.4235576,GASCON 1036,Almagro,5,2450,Renovado 2015
-34.6299368,-58.4698726,NAZCA AV. 55,Flores,7,778,Renovado 2015
-34.6010959999999,-58.3981149,VIAMONTE 2168,Balvanera,3,425,Renovado 2016
-34.6059385,-58.3640370999999,"COSSETTINI, OLGA 751",Puerto Madero,1,622,Renovado 2016
-34.5966135999999,-58.4257739999999,CORDOBA AV. 4175,Palermo,14,350,Renovado 2016
-34.6019519,-58.3717424,LAVALLE 343,San Nicolas,1,880,Renovado 2016
-34.6309589,-58.4701644,RIVADAVIA AV. 7428,Flores,7,1260,Renovado 2016
-34.5860135,-58.435425,"JUSTO, JUAN B. AV. 1574",Palermo,14,961,Renovado 2016
-34.5860447,-58.4401674,"VEGA, NICETO, CNEL. AV. 5699",Palermo,14,333,Renovado 2015
-34.6141925,-58.3746737999999,PERU 535,Monserrat,1,1950,Renovado 2016
-34.5884755,-58.4300173,"BORGES, JORGE LUIS 1640",Palermo,14,264,Renovado 2016
-34.5700422999999,-58.39899799999989,"OBLIGADO RAFAEL, AV.COSTANERA Y SALGUERO, JERONIMO",Palermo,14,1764,Renovado 2016
-34.6050272,-58.39374339999989,RIOBAMBA 345,Balvanera,3,428,Renovado 2016
-34.6095092999999,-58.3797672999999,"YRIGOYEN, HIPOLITO 947",Monserrat,1,400,Renovado 2016
-34.5860320999999,-58.5019399,MOSCONI GENERAL AV. 2885,Villa Pueyrredon,12,1434,Renovado 2016
-34.5890761,-58.3945882,"URIBURU JOSE E., PRES. 1721",Recoleta,2,588,Renovado 2016
-34.6191389,-58.37586759999989,CHACABUCO 947,San Telmo,1,1702,Renovado 2015
-34.5865129999999,-58.4162868,ARAOZ 2422,Palermo,14,1030,Renovado 2016
-34.5896224,-58.38844209999989,"QUINTANA, MANUEL, PRES. 362",Recoleta,2,220,Renovado 2016
-34.59611,-58.39197239999999,RODRIGUEZ PEÑA 1082,Recoleta,2,335,Renovado 2015
-34.5715334,-58.4228098,DEL LIBERTADOR AV. 3883,Palermo,14,2258,Renovado 2016
-34.5523537999999,-58.4652551,CABILDO AV. 3241,Nu�ez,13,900,Renovado 2016
-34.5417454999999,-58.4734558999999,CABILDO AV. 4665,Nu�ez,13,1297,Renovado 2016
-34.6229634999999,-58.3633067999999,"MOREAU DE JUSTO, ALICIA AV. 2092",Puerto Madero,1,679,Renovado 2016
-34.6323002999999,-58.47612039999989,RIVADAVIA AV. 7927,Floresta,10,743,Renovado 2016
-34.6040222,-58.41493929999999,CORRIENTES AV. 3530,Almagro,5,662,Renovado 2016
-34.5861227999999,-58.43614639999989,"JUSTO, JUAN B. AV. 1625",Palermo,14,572,Renovado 2016
-34.6307608999999,-58.4702375999999,RIVADAVIA AV. 7425,Flores,7,452,Renovado 2016
-34.6107239999999,-58.4153475,RIVADAVIA AV. 3469,Almagro,5,1270,Renovado 2016
-34.5814924,-58.4430223999999,DORREGO 1735,Palermo,14,187,Renovado 2016
-34.614905799999995,-58.37070779999989,BALCARCE 605,Monserrat,1,425,Renovado 2016
-34.5889055,-58.39609279999989,AZCUENAGA 1775,Recoleta,2,254,Renovado 2015
-34.5970061,-58.40954359999989,"CABRERA, JOSE A. 3046",Recoleta,2,489,Renovado 2016
-34.5583567999999,-58.43512929999999,"TORNQUIST, ERNESTO AV. 6385",Palermo,14,950,Renovado 2016
-34.5988371999999,-58.37604329999989,CORDOBA AV. 634,San Nicolas,1,100,Renovado 2016
-34.5796532999999,-58.42323869999989,SANTA FE AV. 4389,Palermo,14,1685,Renovado 2016
-34.586455,-58.439579,"VEGA, NICETO, CNEL. AV. 5635",Palermo,14,409,Renovado 2016
-34.5866746,-58.43615069999989,"JUSTO, JUAN B. AV. 1658",Palermo,14,742,Renovado 2016
-34.6313083,-58.47143549999989,RIVADAVIA AV. 7518,Flores,7,323,Renovado 2016
-34.5877016999999,-58.4380603999999,"VEGA, NICETO, CNEL. AV. 5422",Palermo,14,950,Renovado 2015
-34.5981738999999,-58.4094217999999,CORDOBA AV. 2988,Balvanera,3,448,Renovado 2016
-34.586431899999994,-58.433326,HONDURAS 5339,Palermo,14,1100,Renovado 2016
-34.595867299999995,-58.3985709,"URIBURU JOSE E., PRES. 1073",Recoleta,2,508,Renovado 2015
-34.5984515,-58.3798183999999,SUIPACHA 842,Retiro,1,220,Renovado 2015
-34.5782156,-58.461551,ALVAREZ THOMAS AV. 1391,Villa Ortuzar,15,940,Renovado 2015
-34.6055326999999,-58.3901503,SARMIENTO 1656,San Nicolas,1,1372,Renovado 2016
-34.5874221999999,-58.4384683999999,"VEGA, NICETO, CNEL. AV. 5452",Palermo,14,980,Renovado 2015
-34.609612899999995,-58.4089639,ECUADOR 60,Balvanera,3,1540,Renovado 2016
-34.609367299999995,-58.39371750000001,RIVADAVIA AV. 1910,Balvanera,3,990,Renovado 2016
-34.5854383,-58.41535749999989,SANTA FE AV. 3651,Palermo,14,576,Renovado 2016
-34.6215060999999,-58.3913037,HUMBERTO 1° 1783,Constitucion,1,150,Renovado 2015
-34.5969888999999,-58.4973451999999,"BEIRO, FRANCISCO AV. 3128",Villa Del Parque,11,247,Renovado 2016
-34.6090239999999,-58.3798195,DE MAYO AV. 948,Monserrat,1,200,Renovado 2016
-34.639002399999995,-58.5180013,RIVADAVIA AV. 10925,Liniers,9,1320,Renovado 2016
-34.6329905999999,-58.4675991,"ALBERDI, JUAN BAUTISTA AV. 2829",Flores,7,504,Renovado 2016
-34.605603,-58.39117589999999,SARMIENTO 1728,San Nicolas,1,1076,Renovado 2016
-34.56791870000001,-58.4019368,"OBLIGADO RAFAEL, AV.COSTANERA Y SARMIENTO AV.",Palermo,14,1613,Renovado 2016
-34.6281631,-58.38273579999989,SALTA 1748,Constitucion,1,1140,Renovado 2016
-34.6143635,-58.3707331,BALCARCE 563,Monserrat,1,586,Renovado 2015
-34.6155689,-58.3705292,BALCARCE 682,Monserrat,1,819,Renovado 2016
-34.6157152999999,-58.39262420000001,MEXICO 1863,Balvanera,3,460,Renovado 2016
-34.6015286,-58.37812389999989,ESMERALDA 565,San Nicolas,1,300,Renovado 2016
-34.5872409999999,-58.4387297999999,"VEGA, NICETO, CNEL. AV. 5508",Palermo,14,1118,Renovado 2016
-34.5986006999999,-58.4999498,"BEIRO, FRANCISCO AV. 3334",Villa Del Parque,11,480,Renovado 2016
-34.6049093,-58.38940219999989,MONTEVIDEO 310,San Nicolas,1,200,Renovado 2015
-34.5823670999999,-58.4214630999999,"BORGES, JORGE LUIS 2450",Palermo,14,650,Renovado 2016
-34.6241527999999,-58.42748910000001,LA PLATA AV. 735,Caballito,6,1593,Renovado 2016
-34.5920277999999,-58.42647410000001,"SCALABRINI ORTIZ, RAUL AV. 1425",Palermo,14,604,Renovado 2015
-34.629107899999994,-58.3830901999999,O'BRIEN 1232,Constitucion,1,3050,Renovado 2015
